wavelength	depth	depth_err
1.047856e+00	2.122019e-02	0.000000e+00
1.048533e+00	2.125007e-02	9.143827e-05
1.049952e+00	2.121610e-02	0.000000e+00
1.052052e+00	2.121636e-02	0.000000e+00
1.054156e+00	2.120973e-02	0.000000e+00
1.055200e+00	2.113325e-02	1.540500e-04
1.056109e+00	2.147073e-02	8.716289e-05
1.056264e+00	2.120291e-02	0.000000e+00
1.058377e+00	2.121605e-02	0.000000e+00
1.060494e+00	2.120915e-02	0.000000e+00
1.062615e+00	2.120883e-02	0.000000e+00
1.063687e+00	2.131582e-02	8.616104e-05
1.064740e+00	2.120840e-02	0.000000e+00
1.066869e+00	2.120876e-02	0.000000e+00
1.069003e+00	2.120853e-02	0.000000e+00
1.071141e+00	2.122114e-02	0.000000e+00
1.071267e+00	2.131401e-02	8.418522e-05
1.073283e+00	2.120571e-02	0.000000e+00
1.075430e+00	2.121303e-02	0.000000e+00
1.077581e+00	2.122809e-02	0.000000e+00
1.078850e+00	2.154249e-02	8.828639e-05
1.079736e+00	2.121860e-02	0.000000e+00
1.081895e+00	2.122165e-02	0.000000e+00
1.082167e+00	2.113115e-02	1.265197e-04
1.084059e+00	2.122278e-02	0.000000e+00
1.086227e+00	2.126870e-02	0.000000e+00
1.086435e+00	2.163907e-02	8.808152e-05
1.088400e+00	2.126200e-02	0.000000e+00
1.090577e+00	2.130545e-02	0.000000e+00
1.092000e+00	2.118480e-02	2.184800e-04
1.092758e+00	2.135424e-02	0.000000e+00
1.094021e+00	2.147810e-02	8.931563e-05
1.094943e+00	2.139667e-02	0.000000e+00
1.097133e+00	2.140497e-02	0.000000e+00
1.099327e+00	2.140071e-02	0.000000e+00
1.101526e+00	2.146187e-02	0.000000e+00
1.101611e+00	2.154998e-02	8.761529e-05
1.103729e+00	2.143969e-02	0.000000e+00
1.105937e+00	2.145005e-02	0.000000e+00
1.108149e+00	2.146860e-02	0.000000e+00
1.108727e+00	2.158452e-02	8.900492e-05
1.110365e+00	2.148448e-02	0.000000e+00
1.112586e+00	2.149459e-02	0.000000e+00
1.114811e+00	2.153267e-02	0.000000e+00
1.115371e+00	2.167399e-02	8.723481e-05
1.116500e+00	2.153688e-02	2.423400e-04
1.117040e+00	2.155017e-02	0.000000e+00
1.119274e+00	2.154741e-02	0.000000e+00
1.121513e+00	2.153107e-02	0.000000e+00
1.122017e+00	2.166304e-02	9.174461e-05
1.123756e+00	2.150261e-02	0.000000e+00
1.126004e+00	2.149840e-02	0.000000e+00
1.128256e+00	2.150697e-02	0.000000e+00
1.128664e+00	2.161541e-02	8.635137e-05
1.130512e+00	2.152850e-02	0.000000e+00
1.131535e+00	2.132310e-02	8.977848e-05
1.132773e+00	2.152829e-02	0.000000e+00
1.135039e+00	2.169599e-02	0.000000e+00
1.135313e+00	2.175732e-02	8.662610e-05
1.137309e+00	2.152084e-02	0.000000e+00
1.139150e+00	2.145284e-02	2.094000e-04
1.139583e+00	2.145926e-02	0.000000e+00
1.141862e+00	2.150910e-02	0.000000e+00
1.141964e+00	2.167514e-02	8.306867e-05
1.144146e+00	2.156480e-02	0.000000e+00
1.146434e+00	2.148808e-02	0.000000e+00
1.148616e+00	2.157915e-02	8.732001e-05
1.148727e+00	2.148034e-02	0.000000e+00
1.151025e+00	2.149599e-02	0.000000e+00
1.153327e+00	2.152532e-02	0.000000e+00
1.155271e+00	2.144801e-02	8.252033e-05
1.155634e+00	2.149958e-02	0.000000e+00
1.157830e+00	2.162255e-02	1.228200e-04
1.157945e+00	2.150770e-02	0.000000e+00
1.160261e+00	2.149167e-02	0.000000e+00
